INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.ServletConfiguration.execute(ServletConfiguration.java:249)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestDispatcher.forward(RequestDispatcher.java:335)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:378)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.util.PluginServletFilter$1.doFilter(PluginServletFilter.java:38)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.util.PluginServletFilter.doFilter(PluginServletFilter.java:30)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.FilterConfiguration.execute(FilterConfiguration.java:195)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:368)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.security.HudsonFilter.doFilter(HudsonFilter.java:88)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.FilterConfiguration.execute(FilterConfiguration.java:195)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestDispatcher.doFilter(RequestDispatcher.java:368)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestDispatcher.forward(RequestDispatcher.java:333)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestHandlerThread.processRequest(RequestHandlerThread.java:244)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at winstone.RequestHandlerThread.run(RequestHandlerThread.java:150)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2008/09/04 09:26:42 | Caused by: java.lang.NoSuchMethodError: hudson.model.AbstractProject.getPublishersList()Lhudson/util/DescribableList;
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.plugins.checkstyle.util.AbstractResultAction.getBuildHealth(AbstractResultAction.java:116)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.model.Job.getBuildHealthReports(Job.java:710)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at hudson.model.Job.getBuildHealth(Job.java:685)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	... 109 more
INFO   | jvm 1    | 2008/09/04 09:26:42 | 4 sept. 2008 09:26:42 hudson.ExpressionFactory2$JexlExpression evaluate
INFO   | jvm 1    | 2008/09/04 09:26:42 | ATTENTION: Caught exception evaluating: job.buildHealthReports. Reason: java.lang.reflect.InvocationTargetException
INFO   | jvm 1    | 2008/09/04 09:26:42 | java.lang.reflect.InvocationTargetException
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at sun.reflect.GeneratedMethodAccessor26.invoke(Unknown Source)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at org.apache.commons.jexl.util.PropertyExecutor.execute(PropertyExecutor.java:125)
INFO   | jvm 1    | 2008/09/04 09:26:42 | 	at org.apache.commons.jexl.util.introspection.UberspectImpl$VelGetterImpl.invoke(UberspectImpl.java:315)
