Name	Maven ID	Lizenz
ASM Tree	org.ow2.asm:asm-tree:4.0	BSD
Guava: Google Core Libraries for Java	com.google.guava:guava:11.0.1	The Apache Software License, Version 2.0
Pure Java - COM bridge	org.kohsuke.jinterop:j-interopdeps:2.0.6-kohsuke-1	LGPL v3
Acegi Security Core	org.acegisecurity:acegi-security:1.0.7	The Apache Software License, Version 2.0
Spring Framework: Context	org.springframework:spring-context:2.5.6.SEC03	The Apache Software License, Version 2.0
javax.inject	javax.inject:javax.inject:1	The Apache Software License, Version 2.0
Java Native Access	net.java.dev.jna:jna:3.3.0-jenkins-3	LGPL 2.1
Version number manipulation	org.jenkins-ci:version-number:1.1	MIT License
Jenkins CLI	org.jenkins-ci.main:cli:1.583	The MIT license
Apache Commons FileUpload	commons-fileupload:commons-fileupload:1.3.1-jenkins-1	The Apache Software License, Version 2.0
relaxngDatatype	relaxngDatatype:relaxngDatatype:20020414	BSD License
SLF4J JDK14 Binding	org.slf4j:slf4j-jdk14:1.7.7	MIT License
MXP1: Xml Pull Parser 3rd Edition (XPP3)	xpp3:xpp3:1.1.4c	Indiana University Extreme! Lab Software License, vesion 1.1.1
Public Domain
Apache Software License, version 1.1
TXW2 Runtime	com.sun.xml.txw2:txw2:20110809	CDDL v1.1 / GPL v2 dual license
activation	org.jvnet.hudson:activation:1.1.1-hudson-1	CDDL
Apache Mina SSHD :: Core	org.apache.sshd:sshd-core:0.8.0	Apache 2.0 License
ASM Core	org.ow2.asm:asm:4.0	BSD
